Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included
The Cannon,"9 College Ave W, Guelph",https://thecannon.ca/classified/housing/159898/,$975-1100/rm all inclusive,10/Jun/2026,"One large bedroom available on the main floor in this newly renovated, majestic 9-bedroom, 4-level Queen Anne style mansion.",N/A,N/A,False
The Cannon,"16 Maple St, Guelph",https://thecannon.ca/classified/housing/159891/,$875/rm + util,10/Jun/2026,"Well-managed, legal, spacious 5-bdrm house in the Old University area, between campus and Downtown.",N/A,N/A,False
The Cannon,"29 Hales Crescent, Guelph",https://thecannon.ca/classified/housing/159885/,$925/rm+util,10/Jun/2026,Triple A’ location- 5 MINUTE WALK to campus!!,N/A,N/A,False
The Cannon,"41 Nottingham St, Guelph",https://thecannon.ca/classified/housing/159878/,$2400+util,10/Jun/2026,"Newly renovated, 2-storey apartment.",N/A,N/A,False
The Cannon,"96 Dean Ave, Guelph",https://thecannon.ca/classified/housing/159871/,$975/rm+util,10/Jun/2026,"Well-managed, spacious 4-bdrm bungalow on Dean Ave in prestigious Old University Area.",N/A,N/A,False
The Cannon,"64 Talbot St, Guelph",https://thecannon.ca/classified/housing/159865/,$950/rm+util,10/Jun/2026,Triple A’ location- A 10 minute walk to campus!!,N/A,N/A,False
The Cannon,"97 College Ave W, Guelph",https://thecannon.ca/classified/housing/159854/,$925-975/rm+util,10/Jun/2026,"2 Main floor rooms available in a well-managed, spacious 5-bdrm house on College Avenue west. An 8 minute walk to the OVC.",N/A,N/A,False
The Cannon,"44 Brant Ave, Guelph",https://thecannon.ca/classified/housing/159848/,$900.00,10/Jun/2026,"Hello,",N/A,N/A,False
The Cannon,"64 Talbot St, Guelph",https://thecannon.ca/classified/housing/159845/,$875/rm + util,10/Jun/2026,10 month lease available!!,N/A,N/A,False
The Cannon,"48 Yewholme Dr, Guelph",https://thecannon.ca/classified/housing/159837/,$850 – 875 all inclusive,10/Jun/2026,"Rooms available in a spacious, well-managed 7-bdrm house on a quiet residential street, a 20 minute walk to campus. Laundry, 2 full washrooms, dishwasher and garage.",N/A,N/A,False
The Cannon,"12 Truesdale Crescent, Guelph",https://thecannon.ca/classified/housing/159831/,"$950/incl utilities (heat,",10/Jun/2026,1 Room Available – Student House,N/A,N/A,False
The Cannon,"91 Poppy Dr E, Guelph",https://thecannon.ca/classified/housing/159826/,$800 incl,10/Jun/2026,June or July lease start!,N/A,N/A,False
The Cannon,"606 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159820/,$750 incl,10/Jun/2026,Available July 01 or earlier.,N/A,N/A,False
The Cannon,"5 Latenda Pl, Guelph",https://thecannon.ca/classified/housing/159814/,$1000 incl,10/Jun/2026,"Aug 01, 2026 Lease start date",N/A,N/A,False
The Cannon,"1155 Gordon St, Guelph",https://thecannon.ca/classified/housing/159800/,$900.00,10/Jun/2026,"A bright, spacious upper floor unfurnished bedroom is available in a well-maintained 4-bedroom student home with 2 full bathrooms and main floor powder room.  We’re looking for a female U of G student to join three second-year female students in a",N/A,N/A,False
The Cannon,"80 St Arnaud St, Guelph",https://thecannon.ca/classified/housing/159808/,$899,10/Jun/2026,Stuck on the waitlist?  We have a space for you!!,N/A,N/A,False
The Cannon,"69 Walman Dr, Guelph",https://thecannon.ca/classified/housing/159797/,$950,9/Jun/2026,**OPEN HOUSE TOMORROW HUNE 10 11-NOON**,N/A,N/A,False
The Cannon,"16 Caledonia St, Guelph",https://thecannon.ca/classified/housing/159794/,$900/rm + util,9/Jun/2026,10 month lease available!!,N/A,N/A,False
The Cannon,"316 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159788/,$850/rm + util,9/Jun/2026,Edinburgh Rd and College Ave location!!,N/A,N/A,False
The Cannon,"25 Chartwell Crescent, Guelph",https://thecannon.ca/classified/housing/159777/,$950,9/Jun/2026,Looking for a clean and respectful third male house member to move in with two quiet and tidy students.  The largest room of the house is available for a minimum of a 1 year sublease ($950/month + utilities).  The house is in a great neighborhood on,N/A,N/A,False
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/159756/,$0-900,9/Jun/2026,Looking for a place for me and 2 other guys for the upcoming year. All incoming UOGuelph students who couldn’t get a residence.,N/A,N/A,False
The Cannon,"74 York Rd, Guelph",https://thecannon.ca/classified/housing/159753/,$995,9/Jun/2026,"Private bedroom available for a full lease transfer. $995/month, utilities included, +$20/month for WiFi. Main-floor unfurnished bedroom. Shared house with 6 other girls going into their third year. Shared bathroom with 1 girl. 20-minute walk to",N/A,N/A,True
The Cannon,"997 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159768/,$950,9/Jun/2026,Hi everyone! We have 4 rooms available in a spacious 4-bedroom townhouse.,N/A,N/A,False
The Cannon,"101 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/159755/,$700+,9/Jun/2026,"Location, Location, location! Looking for a clean, caring and respectful male student to live in this beautiful house’s furnished 2 bedroom apartment. Located just a 7 minute walk away from the Campus Estates or Walmart. Includes a private entrance,",2,N/A,False
The Cannon,"53 Oakes Cres, Guelph",https://thecannon.ca/classified/housing/159667/,$900 + Utilities,9/Jun/2026,1 room available for rent with shared bathroom. Looking for 1 undergrad female student.,N/A,N/A,False
The Cannon,"10 Lily Ln, Guelph",https://thecannon.ca/classified/housing/159737/,$990,9/Jun/2026,Looking for a clean and responsible female student to share a beautiful modern townhouse with two friendly 4th-year female students in a Modern 3-Bedroom Townhouse.,N/A,N/A,False
The Cannon,"2 Boult Ave, Guelph",https://thecannon.ca/classified/housing/159727/,$900,9/Jun/2026,"A large bedroom with lots of natural light! $900/month, utilities included! Available ASAP.",N/A,N/A,True
The Cannon,"920 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159717/,$580,9/Jun/2026,"Hello! We are looking for a female roommate (mature student or young professional preferred, as the majority of the house is 25+) to join our home starting July 1st (start date is flexible up to Sept 1st).",N/A,N/A,False
The Cannon,"129 Rickson Ave, Guelph",https://thecannon.ca/classified/housing/159658/,$1100,9/Jun/2026,"Available August 1st | $1,100/month per room (Utilities Included*) – willing to negotiate",N/A,N/A,True
The Cannon,"1498 Gordon St, Guelph",https://thecannon.ca/classified/housing/159711/,$920 month,9/Jun/2026,"Single, unfurnished, bedroom in condo/townhome available for rent.  Bedroom is located in the basement with an attached full bathroom.  Kitchen, living room, and laundry are shared spaces.  Rent does not include utilities and internet, which are",N/A,N/A,False
